subset	language	iso	country	clips	hours	train	val	test	dataset
manyawa_mny	Manyawa	mny	MZ	697	1.94	697	0	0	afrispeech
makhuwa_marrevone_xmc	Makhuwa-Marrevone	xmc	MZ	704	1.87	635	41	28	afrispeech
makhuwa_meetto_mgh	Makhuwa-Meetto	mgh	MZ	671	1.83	552	85	34	afrispeech
cinamwanga_mwn	Cinamwanga	mwn	ZM	553	1.66	500	53	0	afrispeech
chitonga_zimbabwe_toi	Chitonga (Zimbabwe)	toi	ZW	486	1.41	452	0	34	afrispeech
atti_ati	Attié	ati	CI	482	1.4	477	5	0	afrispeech
lunda_lun	Lunda	lun	ZM	423	1.11	322	101	0	afrispeech
lomwe_ngl	Lomwe	ngl	MZ	378	1.07	373	5	0	afrispeech
chuabo_chw	Chuabo	chw	MZ	390	1.03	373	0	17	afrispeech
mambwe_lungu_mgr	Mambwe-Lungu	mgr	ZM	331	0.93	264	34	33	afrispeech
ijaw_ijc	Ijaw	ijc	NG	312	0.88	292	0	20	afrispeech
ngbandi_northern_ngb	Ngbandi (Northern)	ngb	CD	255	0.78	222	33	0	afrispeech
makhuwa_shirima_vmk	Makhuwa-Shirima	vmk	MZ	277	0.77	277	0	0	afrispeech
herero_her	Herero	her	NA	192	0.61	192	0	0	afrispeech
chokwe_cjk	Chokwe	cjk	AO	177	0.56	169	0	8	afrispeech
taabwa_tap	Taabwa	tap	CD	195	0.56	163	0	32	afrispeech
kisonge_sop	Kisonge	sop	CD	141	0.4	141	0	0	afrispeech
kanyok_kny	Kanyok	kny	CD	109	0.28	109	0	0	afrispeech
luvale_lue	Luvale	lue	ZM	20	0.07	20	0	0	afrispeech
